Date,Price,Open,High,Low,Vol.,Change %
22-May-20,9194.60,9058.20,9253.50,8952.10,938.86K,1.50%
21-May-20,9059.00,9511.60,9567.10,8833.60,1.41M,-4.76%
20-May-20,9512.30,9773.00,9829.30,9368.40,1.15M,-2.67%
19-May-20,9773.30,9730.80,9883.90,9498.70,1.16M,0.00
18-May-20,9730.70,9678.40,9930.20,9524.40,1.18M,0.55%
17-May-20,9677.70,9376.60,9866.00,9327.80,1.18M,3.18%
16-May-20,9379.50,9318.10,9579.00,9233.00,1.10M,0.66%
15-May-20,9318.00,9778.60,9819.60,9223.20,1.56M,-4.71%
14-May-20,9778.40,9298.70,9887.50,9265.80,1.77M,5.16%
13-May-20,9298.70,8813.90,9384.60,8799.10,1.50M,5.50%
12-May-20,8813.80,8569.80,8964.50,8542.80,1.35M,2.73%
11-May-20,8579.80,8737.60,9129.60,8235.60,2.29M,-1.82%
10-May-20,8738.80,9553.90,9569.40,8259.30,2.47M,-8.54%
9-May-20,9554.60,9806.00,9910.50,9533.60,1.49M,-2.57%
8-May-20,9806.20,9980.10,10018.20,9731.40,1.42M,-1.74%
7-May-20,9979.80,9152.70,10033.00,9064.80,1.91M,9.05%
6-May-20,9151.40,9000.60,9373.70,8923.60,1.62M,1.67%
5-May-20,9001.00,8874.20,9078.70,8800.40,1.05M,1.42%
4-May-20,8874.70,8885.50,8945.50,8553.20,1.12M,-0.12%
3-May-20,8885.50,8966.20,9169.90,8742.20,1.15M,-0.90%
2-May-20,8966.30,8821.60,8986.20,8771.30,890.34K,1.64%
1-May-20,8821.60,8628.60,9040.30,8621.00,1.11M,2.23%
30-Apr-20,8629.00,8770.60,9437.50,8425.50,2.04M,-1.62%
29-Apr-20,8770.90,7746.70,8918.50,7729.70,1.83M,13.22%
28-Apr-20,7746.90,7766.00,7770.10,7655.30,808.09K,-0.25%
27-Apr-20,7766.00,7679.40,7768.50,7637.70,980.50K,1.13%
26-Apr-20,7678.90,7540.40,7679.40,7520.50,921.59K,1.84%
25-Apr-20,7540.40,7503.90,7684.60,7451.00,861.93K,0.49%
24-Apr-20,7503.80,7491.30,7583.50,7423.50,951.95K,0.20%
23-Apr-20,7488.50,7112.80,7655.40,7036.50,1.34M,5.28%
22-Apr-20,7112.90,6842.50,7137.40,6821.80,914.18K,3.95%
21-Apr-20,6842.50,6833.40,6919.30,6774.30,892.57K,0.13%
20-Apr-20,6833.50,7122.90,7207.50,6771.20,1.26M,-4.06%
19-Apr-20,7122.90,7230.90,7238.00,7079.10,5.93M,-1.49%
18-Apr-20,7230.80,7035.90,7259.40,7031.50,796.45K,2.77%
17-Apr-20,7035.80,7085.50,7142.80,7005.80,810.10K,-0.70%
16-Apr-20,7085.60,6629.10,7159.70,6520.50,1.54M,6.89%
15-Apr-20,6629.10,6851.30,6929.50,6615.90,1.00M,-3.24%
14-Apr-20,6850.90,6841.80,6970.80,6768.60,999.53K,0.14%
13-Apr-20,6841.30,6918.10,6920.30,6618.50,1.25M,-1.10%
12-Apr-20,6917.60,6867.90,7158.80,6785.10,1.10M,0.73%
11-Apr-20,6867.80,6862.70,6931.40,6765.10,845.58K,0.07%
10-Apr-20,6863.10,7289.00,7294.40,6756.10,1.37M,-5.84%
9-Apr-20,7289.00,7361.10,7361.10,7140.30,963.55K,-0.98%
8-Apr-20,7361.20,7185.60,7396.10,7153.10,983.94K,2.45%
7-Apr-20,7185.20,7332.30,7440.30,7101.70,1.32M,-2.01%
6-Apr-20,7332.30,6772.80,7335.00,6770.10,1.53M,8.26%
5-Apr-20,6772.70,6857.50,6889.40,6686.00,842.33K,-1.23%
4-Apr-20,6857.40,6735.90,6958.60,6679.10,1.05M,1.80%
3-Apr-20,6735.90,6799.90,7026.30,6623.60,1.35M,-0.95%
2-Apr-20,6800.50,6638.80,7182.70,6567.90,1.74M,2.44%
1-Apr-20,6638.50,6412.40,6661.30,6157.40,1.40M,3.52%
31-Mar-20,6412.50,6391.10,6513.10,6346.30,1.05M,0.34%
30-Mar-20,6391.00,5890.40,6576.50,5872.50,1.43M,8.50%
29-Mar-20,5890.40,6233.20,6258.80,5889.30,916.17K,-5.51%
28-Mar-20,6233.70,6373.40,6374.30,6046.50,1.26M,-2.19%
27-Mar-20,6373.40,6725.50,6813.70,6322.30,1.16M,-5.23%
26-Mar-20,6725.10,6677.90,6772.90,6541.70,1.18M,0.69%
25-Mar-20,6678.90,6744.80,6930.20,6474.60,1.52M,-0.97%
24-Mar-20,6744.60,6468.80,6814.20,6380.80,1.73M,4.26%
23-Mar-20,6468.90,5822.00,6564.70,5710.80,1.88M,11.11%
22-Mar-20,5822.10,6186.90,6394.40,5771.20,1.48M,-5.89%
21-Mar-20,6186.20,6205.60,6438.30,5887.00,1.64M,-0.31%
20-Mar-20,6205.30,6171.60,6858.10,5748.20,2.22M,0.54%
19-Mar-20,6172.00,5359.20,6379.50,5256.00,2.18M,15.12%
18-Mar-20,5361.40,5260.70,5373.10,5020.90,1.80M,1.91%
17-Mar-20,5261.10,5030.20,5432.80,4946.50,1.89M,4.59%
16-Mar-20,5030.00,5366.40,5369.30,4477.70,2.55M,-6.27%
15-Mar-20,5366.30,5182.90,5863.30,5120.60,1.61M,3.54%
14-Mar-20,5182.70,5589.40,5634.90,5072.20,1.69M,-7.19%
13-Mar-20,5584.30,4815.20,5934.30,3869.50,4.17M,15.71%
12-Mar-20,4826.00,7935.20,7963.10,4546.60,3.22M,-39.18%
11-Mar-20,7935.10,7892.10,7976.50,7606.00,1.10M,0.56%
10-Mar-20,7891.20,7933.00,8145.50,7740.20,1.20M,-0.53%
9-Mar-20,7933.00,8035.80,8158.80,7648.70,1.54M,-1.26%
8-Mar-20,8034.10,8887.80,8888.00,8015.30,1.11M,-9.61%
7-Mar-20,8887.80,9134.20,9180.80,8848.70,750.65K,-2.70%
6-Mar-20,9134.80,9060.60,9165.20,9004.90,1.04M,0.82%
5-Mar-20,9060.30,8757.90,9147.30,8751.50,950.76K,3.45%
4-Mar-20,8757.90,8761.30,8840.30,8679.70,759.69K,-0.04%
3-Mar-20,8761.40,8906.10,8911.70,8669.30,1.01M,-1.61%
2-Mar-20,8904.80,8537.50,8961.80,8503.10,1.02M,4.27%
1-Mar-20,8540.00,8543.80,8737.20,8437.20,784.05K,-0.04%
29-Feb-20,8543.70,8697.10,8793.70,8539.80,683.44K,-1.77%
